Depth,Mean NO3,Std NO3,mean PO4,std PO4
0.00,       NaN,       NaN,NaN,NaN
10.00,2.60E-02,3.24E-02,6.65E-02,3.45E-02
20.00,2.86E-02,3.36E-02,6.55E-02,3.38E-02
30.00,3.12E-02,4.00E-02,6.44E-02,3.36E-02
40.00,3.33E-02,4.76E-02,6.26E-02,3.29E-02
50.00,3.55E-02,5.56E-02,6.08E-02,3.22E-02
60.00,3.91E-02,6.56E-02,5.95E-02,3.13E-02
70.00,4.65E-02,7.93E-02,5.95E-02,3.12E-02
80.00,6.19E-02,1.08E-01,6.05E-02,3.11E-02
90.00,9.28E-02,1.53E-01,6.42E-02,3.21E-02
100.00,1.47E-01,2.11E-01,7.14E-02,3.47E-02
110.00,2.45E-01,2.84E-01,8.07E-02,3.81E-02
120.00,3.88E-01,3.79E-01,9.30E-02,4.32E-02
130.00,5.81E-01,4.68E-01,1.08E-01,4.71E-02
140.00,8.43E-01,5.77E-01,1.26E-01,5.41E-02
150.00,1.12E+00,7.07E-01,1.46E-01,6.32E-02
160.00,1.43E+00,8.01E-01,1.67E-01,6.94E-02
170.00,1.77E+00,9.34E-01,1.91E-01,7.80E-02
180.00,2.14E+00,1.07E+00,2.16E-01,8.68E-02
190.00,2.54E+00,1.19E+00,2.44E-01,9.37E-02
200.00,3.00E+00,1.33E+00,2.75E-01,1.03E-01
